ts_ms,time_s,source,state,steer_mode,front_cm,left_cm,right_cm,servo_us
256436,5.735,T,STOP,CRUISE,67.6,6.1,,1500.0
256439,5.738,RAW,ULTRASONIC_ONLY,,67.6,6.1,,1500.0
256558,5.857,T,STOP,CRUISE,64.7,5.7,,1500.0
256562,5.861,RAW,ULTRASONIC_ONLY,,64.7,5.7,,1500.0
256680,5.979,T,STOP,CRUISE,66.9,6.1,,1500.0
256683,5.982,RAW,ULTRASONIC_ONLY,,66.9,6.1,,1500.0
256801,6.1,T,STOP,AWAY,53.1,5.7,,1900.0
256804,6.103,RAW,ULTRASONIC_ONLY,,53.1,5.7,,1900.0
256921,6.22,T,STOP,AWAY,51.2,6.0,,1900.0
256924,6.223,RAW,ULTRASONIC_ONLY,,51.2,6.0,,1900.0
257039,6.338,T,STOP,AWAY,45.1,6.1,,1900.0
257042,6.341,RAW,ULTRASONIC_ONLY,,45.1,6.1,,1900.0
257167,6.466,T,STOP,AWAY,41.7,5.8,,1900.0
257170,6.469,RAW,ULTRASONIC_ONLY,,41.7,5.8,,1900.0
257299,6.598,T,STOP,AWAY,40.6,11.6,,1900.0
257304,6.603,RAW,ULTRASONIC_ONLY,,40.6,11.6,,1900.0
257425,6.724,T,STOP,AWAY,41.8,80.2,,1900.0
257428,6.727,RAW,ULTRASONIC_ONLY,,41.8,80.2,,1900.0
257575,6.874,T,STOP,AWAY,37.3,80.2,,1900.0
257579,6.878,RAW,ULTRASONIC_ONLY,,37.3,80.2,,1900.0
257726,7.025,T,STOP,STRAIGHT,,,197.6,1100.0
257729,7.028,RAW,ULTRASONIC_ONLY,,,,197.6,1100.0
257905,7.204,T,STOP,STRAIGHT,,78.9,,1100.0
257908,7.207,RAW,ULTRASONIC_ONLY,,,78.9,,1100.0
258068,7.367,T,STOP,STRAIGHT,39.3,79.6,,1100.0
258070,7.369,RAW,ULTRASONIC_ONLY,,39.3,79.6,,1100.0
258186,7.485,T,STOP,STRAIGHT,42.4,78.6,,1100.0
258189,7.488,RAW,ULTRASONIC_ONLY,,42.4,78.6,,1100.0
