trigger_type,trigger_ts_ms,trigger_time_s,servo_change_time_s,servo_us_before,servo_us_after,servo_delta_us,latency_s
START_US_TURN,172972,5.761,5.843,1500.0,1900.0,400.0,0.08199999999999985
START_US_STRAIGHTEN,173984,6.773,6.861,1900.0,1100.0,-800.0,0.08800000000000008
START_US_CENTER_HOLD,174800,7.589,7.628,1100.0,1500.0,400.0,0.0389999999999997
START_US_TURN,178287,11.076,11.158,1500.0,1900.0,400.0,0.08199999999999896
START_US_STRAIGHTEN,179332,12.121,12.226,1900.0,1100.0,-800.0,0.10500000000000043
START_US_CENTER_HOLD,180157,12.946,12.962,1100.0,1500.0,400.0,0.016000000000000014
